"Valuación de Inventarios","0001-AGV","DENTAL TRADE",
"Artículo","Descripción","Existencias",,,
"300-513-5UL4","Pieza de bkt. Mirage Sequence Mini Roth s/g .022 UL4",,"96",,,
"300-513-5UL5","Pieza de bkt. Mirage Sequence Mini Roth s/g .022 UL5",,"67",,,
"300-513-5UR1","Pieza de bkt. Mirage Sequence Mini Roth s/g .022 UR1",,"53",,,
"300-513-5UR2","Pieza de bkt. Mirage Sequence Mini Roth s/g .022 UR2",,"53",,,
"300-513-5UR4","Pieza de bkt. Mirage Sequence Mini Roth s/g .022 UR4",,"21",,,
"300-513-5UR5","Pieza de bkt. Mirage Sequence Mini Roth s/g .022 UR5",,"90",,,
"300-521","Juego de bkts. Mirage Sequence Edgewise .018",,"227",,,
"300-521-5-345","Pieza de bkt. Mirage Sequence Edgewise s/g .018 345",,"52",,,
"300-521-5U1","Pieza de bkt. Mirage Sequence Edgewise s/g .018 U1",,"54",,,
"300-521-5U2L12","Pieza de bkt. Mirage Sequence Edgewise s/g .018 U2 L12",,"59",,,
"300-522","Juego de bkts. Mirage Sequence Edgewise .022",,"208",,,
"300-522-5-345","Pieza de bkt. Mirage Sequence Edgewise s/g .022 345",,"88",,,
"300-522-5U1","Pieza de bkt. Mirage Sequence Edgewise s/g .022 U1",,"58",,,
"300-522-5U2-L12","Pieza de bkt. Mirage Sequence Edgewise s/g .022 U2 L12",,"33",,,
"300-530","Juego de bkts. Mirage Sequence Mini Ricketts c/g.345 .018",,"47",,,
"300-530-3LL3","Pieza de bkt. Mirage Sequence Mini Ricketts c/g .018 LL3",,"18",,,
"300-530-3LL45","Pieza de bkt. Mirage Sequence Mini Ricketts c/g .018 LL45",,"27",,,
"300-530-3LR3","Pieza de bkt. Mirage Sequence Mini Ricketts c/g .018 LR3",,"15",,,
"300-530-3LR45","Pieza de bkt. Mirage Sequence Mini Ricketts c/g .018 LR45",,"24",,,
"300-530-3UL3","Pieza de bkt. Mirage Sequence Mini Ricketts c/g .018 UL3",,"23",,,
"300-530-3UL4","Pieza de bkt. Mirage Sequence Mini Ricketts c/g .018 UL4",,"45",,,
"300-530-3UL5","Pieza de bkt. Mirage Sequence Mini Ricketts c/g .018 UL5",,"40",,,
"300-530-3UR3","Pieza de bkt. Mirage Sequence Mini Ricketts c/g .018 UR3",,"21",,,
"300-530-3UR4","Pieza de bkt. Mirage Sequence Mini Ricketts c/g .018 UR4",,"45",,,
"300-530-3UR5","Pieza de bkt. Mirage Sequence Mini Ricketts c/g .018 UR5",,"54",,,
"300-530-5L12","Pieza de bkt. Mirage Sequence Mini Ricketts s/g .018 L12",,"22",,,
"300-530-5UL1","Pieza de bkt. Mirage Sequence Mini Ricketts s/g .018 UL1",,"23",,,
"300-530-5UL2","Pieza de bkt. Mirage Sequence Mini Ricketts s/g .018 UL2",,"23",,,
"300-530-5UR1","Pieza de bkt. Mirage Sequence Mini Ricketts s/g .018 UR1",,"24",,,
"300-530-5UR2","Pieza de bkt. Mirage Sequence Mini Ricketts s/g .018 UR2",,"22",,,
"300-535","Juego de bkts. Secret Lingual c/g .018 c/tubos p/6 y 7",,"65",,,
"300-535-3LL1","Pieza de bkt. Secret Lingual c/g .018 LL1",,"5",,,
"300-535-3LL3","Pieza de bkt. Secret Lingual c/g .018 LL3",,"5",,,
"300-535-3LR1","Pieza de bkt. Secret Lingual c/g .018 LR1",,"5",,,
"300-535-3LR2","Pieza de bkt. Secret Lingual c/g .018 LR2",,"5",,,
"300-535-3UL1","Pieza de bkt. Secret Lingual c/g .018 UL1",,"4",,,
"300-535-3UL2","Pieza de bkt. Secret Lingual c/g .018 UL2",,"5",,,
"300-535-3UL3","Pieza de bkt. Secret Lingual c/g .018 UL3",,"5",,,
"300-535-3UR2","Pieza de bkt. Secret Lingual c/g .018 UR2",,"5",,,
"300-535-3UR3","Pieza de bkt. Secret Lingual c/g .018 UR3",,"5",,,
"300-537","Zafiro Roth",,"335",,,
"300-537-3LL3","Pieza de bkt. Zafiro Roth c/g .022 LL3",,"18",,,
"300-537-3LL4","Pieza de bkt. Zafiro Roth c/g .022 LL4",,"26",,,
"300-537-3LL5","Pieza de bkt. Zafiro Roth c/g .022 LL5",,"20",,,
"300-537-3LR3","Pieza de bkt. Zafiro Roth c/g .022 LR3",,"15",,,
"300-537-3LR4","Pieza de bkt. Zafiro Roth c/g .022 LR4",,"25",,,
"300-537-3LR5","Pieza de bkt. Zafiro Roth c/g .022 LR5",,"21",,,
"300-537-3UL3","Pieza de bkt. Zafiro Roth c/g .022 UL3",,"18",,,
"300-537-3UL45","Pieza de bkt. Zafiro Roth c/g .022 UL45",,"17",,,
"300-537-3UR3","Pieza de bkt. Zafiro Roth c/g .022 UR3",,"19",,,
"300-537-3UR45","Pieza de bkt. Zafiro Roth c/g .022 UR45",,"15",,,
"300-537-5L12","Pieza de bkt. Zafiro Roth s/g .022 L12",,"10",,,
"300-537-5UL1","Pieza de bkt. Zafiro Roth s/g .022 UL1",,"10",,,
"300-537-5UL2","Pieza de bkt. Zafiro Roth s/g .022 UL2",,"13",,,
"300-537-5UR1","Pieza de bkt. Zafiro Roth s/g .022 UR1",,"15",,,
"300-537-5UR2","Pieza de bkt. Zafiro Roth s/g .022 UR2",,"13",,,
"300-538","Juego de bkts. Cerámico Roth c/g.345 .018",,"1213",,,
"300-540","Tubo Borgatta Roth UR triple convertible p/soldar .018 c/5 piezas",,"1",,,
"300-542","Tubo Borgatta Roth LR doble convertible p/soldar .018 c/5 piezas",,"19",,,
"300-543","Tubo Borgatta Roth LL doble convertible p/soldar .018 c/5 piezas",,"2",,,
"300-544","Tubo Borgatta Roth UR sencillo no convertible p/soldar .018 c/5 piezas",,"51",,,
"300-545","Tubo Borgatta Roth UL sencillo no convertible p/soldar .018 c/5 piezas",,"137",,,
"300-546","Tubo Borgatta Roth LR sencillo no convertible p/soldar .018 c/5 piezas",,"33",,,
"300-547","Tubo Borgatta Roth LL sencillo no convertible p/soldar .018 c/5 piezas",,"177",,,
"300-554","Gurin s/g universal c/10 piezas",,"3",,,
"300-555","Gurin c/g derecho c/10 piezas",,"1",,,
"300-556","Gurin c/g izquierdo c/10 piezas",,"251",,,
"300-557","Gancho quirúrgico universal Borgatta",,"736",,,
"300-560","Tornillo Hyrax Borgatta 7 mm",,"351",,,
"300-561","Tornillo Hyrax Borgatta 11 mm",,"470",,,
"300-562","Tubos activadores",,"8",,,
"300-563","Llave para gurin",,"3",,,
"300-564","Tornillo Hyrax Borgatta 9 mm",,"649",,,
"300-565","Tornillo Hyrax Borgatta 13 mm",,"267",,,
"300-566","Llave para tornillo Hyrax Borgatta",,"18",,,
"300-567","Cuñas de rotación Borgatta color transparente c/100 piezas",,"121",,,
"300-568","Cuñas de rotación Borgatta color gris c/100 piezas",,"76",,,
"300-570","Malla para brackets",,"1",,,
"300-571","Regla Ricketts",,"41",,,
"300-575","Rollo de resorte cerrado de acero inoxidable Borgatta c/1 m",,"57",,,
"300-576","Rollo de resorte abierto de acero inoxidable Borgatta c/1 m",,"209",,,
"300-579","Destapador de tubos convertibles",,"59",,,
"300-580","Juego de bkts. Mirage Sequence Mini Edgewise c/g.3 .018",,"143",,,
"300-580-3UL3-LR3","Pieza de bkt. Mirage Sequence Mini Edgewise c/g .018 UL3 LR3",,"60",,,
"300-580-3UR3-LL3","Pieza de bkt. Mirage Sequence Mini Edgewise c/g .018 UR3 LL3",,"60",,,
"300-580-5-45","Pieza de bkt. Mirage Sequence Mini Edgewise s/g .018 45",,"58",,,
"300-580-5U1","Pieza de bkt. Mirage Sequence Mini Edgewise s/g .018 U1",,"58",,,
"300-580-5U2L12","Pieza de bkt. Mirage Sequence Mini Edgewise s/g .018 U2 L12",,"57",,,
"300-581","Juego de bkts. Mirage Sequence Mini Edgewise c/g.3 .022",,"136",,,
"300-581-3UL-LR3","Pieza de bkt. Mirage Sequence Mini Edgewise c/g .022 UL3 LR3",,"80",,,
"300-581-3UR-LL3","Pieza de bkt. Mirage Sequence Mini Edgewise c/g .022 UR3 LL3",,"67",,,
"300-581-5-45","Pieza de bkt. Mirage Sequence Mini Edgewise s/g .022 45",,"58",,,
"300-581-5U1","Pieza de bkt. Mirage Sequence Mini Edgewise s/g .022 U1",,"62",,,
"300-581-5U2L12","Pieza de bkt. Mirage Sequence Mini Edgewise s/g .022 U2 L12",,"120",,,
"300-582","Juego de bkts. Mirage Sequence MBT c/g.3 .022",,"144",,,
"300-582-3LL3","Pieza de bkt. Mirage Sequence MBT c/g .022 LL3",,"15",,,
"300-582-3LR3","Pieza de bkt. Mirage Sequence MBT c/g .022 LR3",,"17",,,
"300-582-3UL3","Pieza de bkt. Mirage Sequence MBT c/g .022 UL3",,"14",,,
"300-582-3UR3","Pieza de bkt. Mirage Sequence MBT c/g .022 UR3",,"18",,,
"300-582-5L12","Pieza de bkt. Mirage Sequence MBT s/g .022 L12",,"9",,,
"300-582-5LL4","Pieza de bkt. Mirage Sequence MBT s/g .022 LL4",,"36",,,
"300-582-5LL5","Pieza de bkt. Mirage Sequence MBT s/g .022 LL5",,"9",,,
"300-582-5LR4","Pieza de bkt. Mirage Sequence MBT s/g .022 LR4",,"36",,,
"300-582-5LR5","Pieza de bkt. Mirage Sequence MBT s/g .022 LR5",,"17",,,
"300-582-5U45","Pieza de bkt. Mirage Sequence MBT s/g .022 UR45",,"19",,,
"300-582-5UL1","Pieza de bkt. Mirage Sequence MBT s/g .022 UL1",,"12",,,
"300-582-5UL2","Pieza de bkt. Mirage Sequence MBT s/g .022 UL2",,"17",,,
"300-582-5UR1","Pieza de bkt. Mirage Sequence MBT s/g .022 UR1",,"15",,,
"300-582-5UR2","Pieza de bkt. Mirage Sequence MBT s/g .022 UR2",,"18",,,
"300-584-1","Autoligado interactivo Memory Roth",,"7",,,
"300-584-3LL3","Pieza de bkt. Autoligado Interactivo Memory Roth c/g .022 LL3",,"54",,,
"300-584-3LL4","Pieza de bkt. Autoligado Interactivo Memory Roth c/g .022 LL4",,"55",,,
"300-584-3LL5","Pieza de bkt. Autoligado Interactivo Memory Roth c/g .022 LL5",,"58",,,
"300-584-3LR3","Pieza de bkt. Autoligado Interactivo Memory Roth c/g .022 LR3",,"78",,,
"300-584-3LR4","Pieza de bkt. Autoligado Interactivo Memory Roth c/g .022 LR4",,"85",,,
"300-584-3LR5","Pieza de bkt. Autoligado Interactivo Memory Roth c/g .022 LR5",,"58",,,
"300-584-3UL3","Pieza de bkt. Autoligado Interactivo Memory Roth c/g .022 UL3",,"62",,,
"300-584-3UL45","Pieza de bkt. Autoligado Interactivo Memory Roth c/g .022 UL45",,"57",,,
"300-584-3UR3","Pieza de bkt. Autoligado Interactivo Memory Roth c/g .022 UR3",,"62",,,
"300-584-3UR45","Pieza de bkt. Autoligado Interactivo Memory Roth c/g .022 UR45",,"70",,,
"300-584-5L12","Pieza de bkt. Autoligado Interactivo Memory Roth s/g .022 L12",,"34",,,
"300-584-5UL1","Pieza de bkt. Autoligado Interactivo Memory Roth s/g .022 UL1",,"17",,,
"300-584-5UL2","Pieza de bkt. Autoligado Interactivo Memory Roth s/g .022 UL2",,"40",,,
"300-584-5UR1","Pieza de bkt. Autoligado Interactivo Memory Roth s/g .022 UR1",,"19",,,
"300-584-5UR2","Pieza de bkt. Autoligado Interactivo Memory Roth s/g .022 UR2",,"28",,,
"300-585","Lip bumper Borgatta color azul c/gancho",,"145",,,
"300-586-3LL3","Pieza de bkt. Autoligado Interactivo Active "C" c/g .022 LL3",,"22",,,
"300-586-3LL4","Pieza de bkt. Autoligado Interactivo Active "C" c/g .022 LL4",,"23",,,
"300-586-3LL5","Pieza de bkt. Autoligado Interactivo Active "C" c/g .022 LL5",,"33",,,
"300-586-3LR3","Pieza de bkt. Autoligado Interactivo Active "C" c/g .022 LR3",,"29",,,
"300-586-3LR4","Pieza de bkt. Autoligado Interactivo Active "C" c/g .022 LR4",,"24",,,
"300-586-3LR5","Pieza de bkt. Autoligado Interactivo Active "C" c/g .022 LR5",,"29",,,
"300-586-3UL3","Pieza de bkt. Autoligado Interactivo Active "C" c/g .022 UL3",,"24",,,
"300-586-3UL4","Pieza de bkt. Autoligado Interactivo Active "C" c/g .022 UL4",,"26",,,
"300-586-3UL5","Pieza de bkt. Autoligado Interactivo Active "C" c/g .022 UL5",,"24",,,
"300-586-3UR3","Pieza de bkt. Autoligado Interactivo Active "C" c/g .022 UR3",,"29",,,
"300-586-3UR4","Pieza de bkt. Autoligado Interactivo Active "C" c/g .022 UR4",,"32",,,
"300-586-3UR5","Pieza de bkt. Autoligado Interactivo Active "C" c/g .022 UR5",,"37",,,
"300-586-5LL1","Pieza de bkt. Autoligado Interactivo Active "C" s/g .022 LL1",,"20",,,
"300-586-5LL2","Pieza de bkt. Autoligado Interactivo Active "C" s/g .022 LL2",,"22",,,
"300-586-5LR1","Pieza de bkt. Autoligado Interactivo Active "C" s/g .022 LR1",,"19",,,
"300-586-5LR2","Pieza de bkt. Autoligado Interactivo Active "C" s/g .022 LR2",,"25",,,
"300-586-5UL1","Pieza de bkt. Autoligado Interactivo Active "C" s/g .022 UL1",,"22",,,
"300-586-5UL2","Pieza de bkt. Autoligado Interactivo Active "C" s/g .022 UL2",,"23",,,
"300-586-5UR1","Pieza de bkt. Autoligado Interactivo Active "C" s/g .022 UR1",,"22",,,
"300-586-5UR2","Pieza de bkt. Autoligado Interactivo Active "C" s/g .022 UR2",,"23",,,
"300-588","Lip bumper Borgatta color perla c/gancho",,"95",,,
"300-589","Lip bumper Borgatta color rosa c/gancho",,"98",,,
"300-590","Botón lingual Borgatta plano p/soldar 10 piezas",,"61",,,
"300-592","Botón lingual Borgatta plano c/malla 10 piezas",,"590",,,
"300-593","Botón lingual Borgatta curvo c/malla 10 piezas",,"800",,,
"300-594","Dinamómetro Borgatta 100-1600 g",,"10",,,
"300-597","Tornillo de abanico Borgatta",,"30",,,
"300-600M","Orthobond Oxifosfato con flúor",,"25",,,
"300-640","Tubo Borgatta Roth UR triple convertible p/soldar .022 c/5 piezas",,"83",,,
"300-641","Tubo Borgatta Roth UL triple convertible p/soldar .022 c/5 piezas",,"209",,,
"300-642","Tubo Borgatta Roth LR doble convertible p/soldar .022 c/5 piezas",,"134",,,
"300-643","Tubo Borgatta Roth LL doble convertible p/soldar .022 c/5 piezas",,"74",,,
"300-644","Tubo Borgatta Roth UR sencillo no convertible p/soldar .022 c/5 piezas",,"236",,,
"300-645","Tubo Borgatta Roth UL sencillo no convertible p/soldar .022 c/5 piezas",,"140",,,
"300-646","Tubo Borgatta Roth LR sencillo no convertible p/soldar .022 c/5 piezas",,"57",,,
"300-647","Tubo Borgatta Roth LL sencillo no convertible p/soldar .022 c/5 piezas",,"95",,,
"300-663","Doblador dístal de arcos abierto",,"7",,,
"300-664","Adaptador de ligadura elastica con punta posicionadora",,"14",,,
"300-666","Macro brackets para demostración (Azul)",,"114",,,
"300-667","Instrumento para Bkt de autoligado",,"1424",,,
"300-668","Macro brackets para demostración nano (Gris)",,"58",,,
"300-700M","Orthobond Ionómero de vidrio con flúor",,"106",,,
"300-703","Double Hook con malla c/5 piezas",,"89",,,
"300-704","Caja lingual Borgatta universal s/g c/5 piezas",,"342",,,
"300-705","Botón de extracción con cadena y malla c/1 pieza",,"57",,,
"300-706","Power arm bondeable 6 mm c/4 piezas (Derecho/izquierdo)",,"56",,,
"300-708","Power arm bondeable 8 mm c/4 piezas (Derecho/izquierdo)",,"46",,,
"300-710","Power arm bondealbe 10 mm c/4 piezas (Derecho/izquierdo)",,"45",,,
"300-711","Powre hook crimpable 8 mm c/5 piezas",,"6",,,
"300-712","Botón ceramico plano 1 pieza",,"297",,,
"300-713","Boton ceramico curvo 1 pieza",,"12",,,
"300-802-D","Cepillo dental NANO",,"739",,,
"300-803-D","Cepillo dental ortodóntico Inter Ortho",,"2287",,,
"300-803-ID","Cepillo dental ortodóntico Inter Ortho Teens",,"284",,,
"300-804-D","Cepillo dental ortodóntico Nano Ortho",,"13279",,,
"300-805","Kit de cepillado ortodóntico",,"12",,,
"300-809","Cepillo dental Natbú Carbón",,"35",,,
"300-810","Cepillo dental Natbú Sensitive",,"3",,,
"300-900","Pinza CA horizontal",,"35",,,
"300-901","Pinza CA gota",,"23",,,
"300-902","Pinza CA vertical",,"38",,,
"300-903","Pinza CA circular",,"41",,,
"301-150","Tubo Borgatta Edgewise UR doble convertible c/malla .018 c/5 piezas",,"14",,,
"301-151","Tubo Borgatta Edgewise UL doble convertible c/malla .018 c/5 piezas",,"13",,,
"301-152","Tubo Borgatta Edgewise LR sencillo convertible c/malla .018 c/5 piezas",,"32",,,
"301-153","Tubo Borgatta Edgewise LL sencillo convertible c/malla .018 c/5 piezas",,"84",,,
"301-250","Tubo Borgatta Edgewise UR doble convertible c/malla .022 c/5 piezas",,"25",,,
"301-251","Tubo Borgatta Edgewise UL doble convertible c/malla .022 c/5 piezas",,"47",,,
"301-252","Tubo Borgatta Edgewise LR sencillo convertible c/malla .022 c/5 piezas",,"20",,,
"301-253","Tubo Borgatta Edgewise LL sencillo convertible c/malla .022 c/5 piezas",,"38",,,
"301-340","Tubo Borgatta Roth UR doble convertible c/malla .018 c/5 piezas",,"70",,,
"301-341","Tubo Borgatta Roth UL doble convertible c/malla .018 c/5 piezas",,"10",,,
"301-342","Tubo Borgatta Roth LR sencillo convertible c/malla .018 c/5 piezas",,"32",,,
"301-343","Tubo Borgatta Roth LL sencillo convertible c/malla .018 c/5 piezas",,"34",,,
"301-440","Tubo Borgatta Roth UR doble convertible c/malla .022 c/5 piezas",,"24",,,
"301-441","Tubo Borgatta Roth UL doble convertible c/malla .022 c/5 piezas",,"34",,,
"301-442","Tubo Borgatta Roth LR sencillo convertible c/malla .022 c/5 piezas",,"61",,,
"301-443","Tubo Borgatta Roth LL sencillo convertible c/malla .022 c/5 piezas",,"38",,,
"301-544","Tubo Borgatta Roth UR sencillo no convertible c/malla .018 c/5 piezas",,"152",,,
"301-545","Tubo Borgatta Roth UL sencillo no convertible c/malla .018 c/5 piezas",,"108",,,
"301-546","Tubo Borgatta Roth LR sencillo no convertible c/malla .018 c/5 piezas",,"71",,,
"301-547","Tubo Borgatta Roth LL sencillo no convertible c/malla .018 c/5 piezas",,"118",,,
"301-644","Tubo Borgatta Roth UR sencillo no convertible c/malla .022 c/5 piezas",,"46",,,
"301-645","Tubo Borgatta Roth UL sencillo no convertible c/malla .022 c/5 piezas",,"217",,,
"301-646","Tubo Borgatta Roth LR sencillo no convertible c/malla .022 c/5 piezas",,"164",,,
"301-647","Tubo Borgatta Roth LL sencillo no convertible c/malla .022 c/5 piezas",,"198",,,
"301-746","Tubo Borgatta Roth LR sencillo no convertible p/7 c/malla .018 c/5 piezas",,"76",,,
"301-844","Tubo Borgatta Roth UR sencillo no convertible p/7 c/malla .022 c/5 piezas",,"104",,,
"301-845","Tubo Borgatta Roth UL sencillo no convertible p/7 c/malla .022 c/5 piezas",,"177",,,
"301-846","Tubo Borgatta Roth LR sencillo no convertible p/7 c/malla .022 c/5 piezas",,"185",,,
"301-847","Tubo Borgatta Roth LL sencillo no convertible p/7 c/malla .022 c/5 piezas",,"106",,,
"350-102","Elásticos intraorales látex Borgatta 1/8 2.5 oz 1000 piezas",,"334",,,
"350-104","Elásticos intraorales látex Borgatta 1/8 4.5 oz 1000 piezas",,"210",,,
"350-106","Elásticos intraorales látex Borgatta 1/8 6 oz 1000 piezas",,"198",,,
"350-202","Elásticos intraorales látex Borgatta 3/16 2.5 oz 1000 piezas",,"225",,,
"350-204","Elásticos intraorales látex Borgatta 3/16 4.5 oz 1000 piezas",,"104",,,
"350-206","Elásticos intraorales látex Borgatta 3/16 6 oz 1000 piezas",,"212",,,
"350-302","Elásticos intraorales látex Borgatta 1/4 2.5 oz 1000 piezas",,"262",,,
"350-304","Elásticos intraorales látex Borgatta 1/4 4.5 oz 1000 piezas",,"267",,,
"350-306","Elásticos intraorales látex Borgatta 1/4 6 oz 1000 piezas",,"272",,,
"350-402","Elásticos intraorales látex Borgatta 5/16 2.5 oz 1000 piezas",,"232",,,
"350-404","Elásticos intraorales látex Borgatta 5/16 4.5 oz 1000 piezas",,"124",,,
"350-406","Elásticos intraorales látex Borgatta 5/16 6 oz 1000 piezas",,"138",,,
"350-502","Elásticos intraorales látex Borgatta 3/8 2.5 oz 1000 piezas",,"84",,,
"350-504","Elásticos intraorales látex Borgatta 3/8 4.5 oz 1000 piezas",,"104",,,
"350-506","Elásticos intraorales látex Borgatta 3/8 6 oz 1000 piezas",,"62",,,
"400-000-00","Kit stripping Maneral",,"210",,,
"400-000-01","Tiras de poliéster abrasivas c/50 piezas",,"43",,,
"400-000-02","Tiras de acero inoxidable una luz c/12 piezas",,"1132",,,
"400-000-03","Tiras de acero inoxidable dos luces c/12 piezas",,"1419",,,
"400-000-04","Tiras de diamante de acero inoxidable con centro hueco c/6 piezas",,"455",,,
"400-000-05","Tiras de acero inoxidable sin abrasivo c/6 piezas",,"103",,,
"400-000-06","Tiras de profilaxis de acero inoxidable (sin abrasivo) - 4 mm c/10 piezas",,"88",,,
"400-000-10","Mango para lijas de stripping",,"17",,,
"400-000-11","Reglas de medición (calibrador)",,"8",,,
"400-000-12","Lijas tipo sierra sin abrasivo 0.05 mm",,"83",,,
"400-000-13","Lija extra fina de dos luces 0.10 mm",,"62",,,
"400-000-14","Lija extra fina de una luz derecha 0.05 mm",,"118",,,
"400-000-15","Lija extra fina de una luz izquierda 0.05 mm",,"121",,,
"400-000-16","Lija fina de dos luces 0.20 mm",,"65",,,
"400-000-17","Lija fina de una luz derecha 0.10 mm",,"108",,,
"400-000-18","Lija fina de una luz izquierda 0.10 mm",,"108",,,
"400-000-19","Lija regular de dos luces 0.30 mm",,"62",,,
"400-000-20","Lija regular de una luz derecha 0.15 mm",,"124",,,
"400-000-21","Lija regular de una luz izquierda 0.15 mm",,"121",,,
"400-000-22","Lija gruesa de dos luces 0.40 mm",,"70",,,
"400-000-23","Lija gruesa de una luz derecha 0.20 mm",,"119",,,
"400-000-24","Lija gruesa de una luz izquierda 0.20 mm",,"117",,,
"400-000-25","Lijas extra gruesa de dos luces 0.50 mm",,"83",,,
"400-000-30","Kit stripping Manual",,"255",,,
"400-000-31","Lijas Manual tipo sierra sin abrasivo 0.05 mm",,"41",,,
"400-000-32","Lija manual extra fina de dos luces 0.10 mm",,"35",,,
"400-000-33","Lija manual extra fina de una luz 0.05 mm",,"75",,,
"400-000-34","Lija manual fina de dos luces 0.20 mm",,"48",,,
"400-000-35","Lija manual fina de una luz 0.10 mm",,"76",,,
"400-000-36","Lija manual mediana de dos luces 0.30 mm",,"71",,,
"400-000-37","Lija manual mediana de una luz 0.15 mm",,"89",,,
"400-000-38","Lija manual gruesa de dos luces 0.40 mm",,"77",,,
"400-000-39","Lija manual gruesa de una luz 0.20 mm",,"92",,,
"450-001","Cera para bkts. Borgatta aroma Arándano (Azul) 1 pieza",,"14886",,,
"450-002","Cera para bkts. Borgatta aroma Fresa (Rosa) 1 pieza",,"15520",,,
"450-003","Cera para bkts. Borgatta aroma Uva (Morado) 1 pieza",,"13727",,,
"450-004","Cera para bkts. Borgatta aroma Piña (Amarillo) 1 pieza",,"9841",,,
"450-005","Cera para bkts. Borgatta aroma Menta (Verde) 1 pieza",,"13888",,,
"47-010-05","Ligaduras metálicas preformadas Black .010",,"409",,,
"47-250-00","Instrumento para ligar (twist-mate)",,"7",,,
"47-505-52","Rollo de ligadura metálica ortodóntica BLACK .010 c/70 g",,"1",,,
"47-601-22","Stops crimpables",,"89",,,
"47-601-39","Gancho quirúrgico universal Borgatta Black",,"84",,,
"48-001-01","Retenedor autocurable de central a central #1",,"16",,,
"48-001-02","Retenedor autocurable de central a central #2",,"9",,,
"48-001-03","Retenedor autocurable de central a central #3",,"12",,,
"48-030-30","Retenedor autocurable de canino a canino 30 mm",,"8",,,
"48-030-31","Retenedor autocurable de canino a canino 31 mm",,"20",,,
"48-030-32","Retenedor autocurable de canino a canino 32 mm",,"42",,,
"48-030-33","Retenedor autocurable de canino a canino 33 mm",,"72",,,
"48-030-34","Retenedor autocurable de canino a canino 34 mm",,"116",,,
"48-030-35","Retenedor autocurable de canino a canino 35 mm",,"136",,,
"48-030-36","Retenedor autocurable de canino a canino 36 mm",,"85",,,
"48-030-37","Retenedor autocurable de canino a canino 37 mm",,"41",,,
"48-030-38","Retenedor autocurable de canino a canino 38 mm",,"32",,,
"48-030-39","Retenedor autocurable de canino a canino 39 mm",,"40",,,
"480-810M","Orthobond Autocurable",,"279",,,
"480-820M","Orthobond Fotocurable",,"684",,,
"480-823","Ácido grabador Orthobond (recambio) 5 cc",,"3",,,
"480-850","Orthobond Clear",,"11",,,
"480-851","Jeringa de resina Orthobond Clear (recambio) 3 g",,"4",,,
"480-852","Ácido grabador Orthobond Clear (recambio) 1.2 ml",,"7",,,
"480-853","Puntas aplicadoras para resina Orthobond Clear 15 piezas",,"8",,,
"480-854","Puntas aplicadoras para ácido grabador Orthobond Clear 15 piezas",,"7",,,
"48-101-01","Retenedor fotocurable de central a central #1",,"3",,,
"48-101-03","Retenedor fotocurable de central a central #3",,"2",,,
"4-BCM","Etiqueta para campo surtido Borgatta",,"2931",,,
"5000000M","Cemento de obturación (14 g polvo/ 7 ml líquido)",,"20",,,
"500-005-1","Módulos elásticos en "S" Borgatta color transparente c/500 piezas",,"699",,,
"500-005-20","Módulos elásticos en "S" Borgatta color surtido Classic c/500 piezas",,"515",,,
"500-005-30","Módulos elásticos en "S" Borgatta color surtido Fluorescente c/500 piezas",,"579",,,
"500-005-40","Módulos elásticos en "S" Borgatta color surtido Full c/500 piezas",,"75",,,
"500-011","Arco extraoral chico s/omega Borgatta",,"52",,,
"500-012","Arco extraoral mediano s/omega Borgatta",,"134",,,
"500-020","Adaptador de bandas autoclaveable punta cuadrada",,"16",,,
"500-020-1","Adaptador de bandas autoclaveable punta triangular",,"31",,,
"500-024","Retractor de labios autoclavable Borgatta transparente adulto",,"447",,,
"500-026","Retractor de labios autoclavable Borgatta transparente infantil",,"1721",,,
"500-028","Retractor oral abierto transparente c/1 pieza",,"590",,,
"500-030","Retractor oral cerrado azul c/1 pieza",,"604",,,
"500-031","High pull cervical c/módulo de seguridad color rosa",,"5",,,
"500-032","Almohadilla cervical c/módulo de seguridad color azul",,"14",,,
"500-033","Almohadilla cervical c/módulo de seguridad color rosa",,"5",,,
"500-034","High pull cervical c/módulo de seguridad color azul",,"43",,,
"500-036","High pull cervical c/módulo de seguridad color mezclilla",,"65",,,
"60-101","Banda Anatómica Advance para Primer Molar UR1",,"176",,,
"60-102","Banda Anatómica Advance para Primer Molar UR2",,"253",,,
"60-103","Banda Anatómica Advance para Primer Molar UR3",,"308",,,
"60-104","Banda Anatómica Advance para Primer Molar UR4",,"611",,,
"60-105","Banda Anatómica Advance para Primer Molar UR5",,"495",,,
"60-106","Banda Anatómica Advance para Primer Molar UR6",,"611",,,
"60-107","Banda Anatómica Advance para Primer Molar UR7",,"497",,,
"60-108","Banda Anatómica Advance para Primer Molar UR8",,"527",,,
"60-109","Banda Anatómica Advance para Primer Molar UR9",,"839",,,
"60-110","Banda Anatómica Advance para Primer Molar UR10",,"916",,,
"60-111","Banda Anatómica Advance para Primer Molar UR11",,"825",,,
"60-112","Banda Anatómica Advance para Primer Molar UR12",,"773",,,
"60-113","Banda Anatómica Advance para Primer Molar UR13",,"770",,,
"60-114","Banda Anatómica Advance para Primer Molar UR14",,"783",,,
"60-115","Banda Anatómica Advance para Primer Molar UR15",,"907",,,
"60-116","Banda Anatómica Advance para Primer Molar UR16",,"1091",,,
"60-117","Banda Anatómica Advance para Primer Molar UR17",,"909",,,
"60-118","Banda Anatómica Advance para Primer Molar UR18",,"883",,,
